Name,d,epochs,MSE,MAE,MAPE,R2 Square,TRAIN MSE,TIME,p,lr
Snap Star (new wrmp),5,75,14.204,2.47913,0.12009,0.82941,2.35559,17,0.0,0.1
Snap Ensemble,4,75,14.20453,2.53824,0.13148,0.82941,4.45539,14,0.1,0.1
Snap Star (shot wrmp),4,75,12.49615,2.41891,0.11814,0.84992,2.84919,16,0.1,0.1
Snap Star (new wrmp),4,75,13.10747,2.45349,0.12104,0.84258,3.76941,15,0.1,0.1
Snap Ensemble,4,75,14.88401,2.40387,0.11695,0.82125,2.0329,14,0.0,0.1
Snap Star (shot wrmp),4,75,14.79476,2.42518,0.11872,0.82232,2.23055,16,0.0,0.1
Snap Star (new wrmp),4,75,14.41589,2.39665,0.11786,0.82687,1.85366,15,0.0,0.1
Snap Ensemble,3,75,13.6404,2.53057,0.13245,0.83618,4.0932,11,0.1,0.1
Snap Star (shot wrmp),3,75,12.79853,2.46836,0.12373,0.84629,3.11697,13,0.1,0.1
Snap Star (new wrmp),3,75,11.91835,2.37588,0.12106,0.85686,3.1158,12,0.1,0.1
Snap Ensemble,3,75,11.73372,2.30727,0.1183,0.85908,2.0456,11,0.0,0.1
Snap Star (shot wrmp),3,75,11.75145,2.29313,0.11339,0.85887,1.71586,12,0.0,0.1
Snap Star (new wrmp),3,75,11.6504,2.34328,0.11998,0.86008,1.93071,12,0.0,0.1
Snap Ensemble,2,75,14.81382,2.63348,0.13921,0.82209,4.48204,8,0.1,0.1
Snap Star (shot wrmp),2,75,13.6924,2.46565,0.12413,0.83556,3.17404,9,0.1,0.1
Snap Star (new wrmp),2,75,13.5286,2.46257,0.12694,0.83752,3.40544,8,0.1,0.1
Snap Ensemble,2,75,13.63918,2.38453,0.12141,0.8362,2.17063,8,0.0,0.1
Snap Star (shot wrmp),2,75,13.18016,2.39657,0.12469,0.84171,2.24452,9,0.0,0.1
Snap Star (new wrmp),2,75,13.5115,2.42002,0.12239,0.83773,2.51881,8,0.0,0.1
Snap Ensemble,1,75,12.95606,2.43463,0.1282,0.8444,4.11438,6,0.1,0.1
Snap Star (shot wrmp),1,75,12.58393,2.36295,0.12312,0.84887,3.53366,6,0.1,0.1
Snap Star (new wrmp),1,75,13.94733,2.50657,0.12665,0.8325,4.54152,6,0.1,0.1
